Name,Date,Market_Cap
 HedgeTrade ,"Apr 17, 2020","554,260,488"
 HedgeTrade ,"Apr 16, 2020","513,417,568"
 HedgeTrade ,"Apr 15, 2020","487,076,999"
 HedgeTrade ,"Apr 14, 2020","507,410,188"
 HedgeTrade ,"Apr 13, 2020","508,158,239"
 HedgeTrade ,"Apr 12, 2020","520,282,363"
 HedgeTrade ,"Apr 11, 2020","514,159,371"
 HedgeTrade ,"Apr 10, 2020","502,088,059"
 HedgeTrade ,"Apr 09, 2020","531,370,040"
 HedgeTrade ,"Apr 08, 2020","553,204,127"
 HedgeTrade ,"Apr 07, 2020","537,056,629"
 HedgeTrade ,"Apr 06, 2020","548,370,343"
 HedgeTrade ,"Apr 05, 2020","498,543,183"
 HedgeTrade ,"Apr 04, 2020","505,311,985"
 HedgeTrade ,"Apr 03, 2020","497,613,098"
 HedgeTrade ,"Apr 02, 2020","500,882,542"
 HedgeTrade ,"Apr 01, 2020","480,424,979"
 HedgeTrade ,"Mar 31, 2020","458,648,319"
 HedgeTrade ,"Mar 30, 2020","477,463,510"
 HedgeTrade ,"Mar 29, 2020","448,358,278"
 HedgeTrade ,"Mar 28, 2020","469,271,584"
 HedgeTrade ,"Mar 27, 2020","467,399,159"
 HedgeTrade ,"Mar 26, 2020","488,114,050"
 HedgeTrade ,"Mar 25, 2020","485,591,526"
 HedgeTrade ,"Mar 24, 2020","495,687,178"
 HedgeTrade ,"Mar 23, 2020","471,276,711"
 HedgeTrade ,"Mar 22, 2020","433,798,356"
 HedgeTrade ,"Mar 21, 2020","474,961,836"
 HedgeTrade ,"Mar 20, 2020","481,699,037"
 HedgeTrade ,"Mar 19, 2020","464,556,209"
 HedgeTrade ,"Mar 18, 2020","391,523,163"
 HedgeTrade ,"Mar 17, 2020","383,573,995"
 HedgeTrade ,"Mar 16, 2020","382,481,575"
 HedgeTrade ,"Mar 15, 2020","417,184,856"
 HedgeTrade ,"Mar 14, 2020","407,510,159"
 HedgeTrade ,"Mar 13, 2020","433,985,704"
 HedgeTrade ,"Mar 12, 2020","384,037,287"
 HedgeTrade ,"Mar 11, 2020","640,224,875"
 HedgeTrade ,"Mar 10, 2020","639,865,022"
 HedgeTrade ,"Mar 09, 2020","636,619,972"
 HedgeTrade ,"Mar 08, 2020","660,310,763"
 HedgeTrade ,"Mar 07, 2020","737,427,326"
 HedgeTrade ,"Mar 06, 2020","768,390,051"
 HedgeTrade ,"Mar 05, 2020","750,000,779"
 HedgeTrade ,"Mar 04, 2020","739,256,557"
 HedgeTrade ,"Mar 03, 2020","741,882,876"
 HedgeTrade ,"Mar 02, 2020","714,005,696"
 HedgeTrade ,"Mar 01, 2020","711,158,958"
 HedgeTrade ,"Feb 29, 2020","729,478,253"
 HedgeTrade ,"Feb 28, 2020","723,000,391"
 HedgeTrade ,"Feb 27, 2020","751,526,199"
 HedgeTrade ,"Feb 26, 2020","750,095,722"
 HedgeTrade ,"Feb 25, 2020","787,718,797"
 HedgeTrade ,"Feb 24, 2020","818,513,445"
 HedgeTrade ,"Feb 23, 2020","854,987,256"
 HedgeTrade ,"Feb 22, 2020","823,430,801"
 HedgeTrade ,"Feb 21, 2020","822,986,070"
 HedgeTrade ,"Feb 20, 2020","809,619,551"
 HedgeTrade ,"Feb 19, 2020","808,291,988"
 HedgeTrade ,"Feb 18, 2020","828,180,432"
 HedgeTrade ,"Feb 17, 2020","777,288,846"
 HedgeTrade ,"Feb 16, 2020","767,948,559"
 HedgeTrade ,"Feb 15, 2020","765,233,390"
 HedgeTrade ,"Feb 14, 2020","772,102,265"
 HedgeTrade ,"Feb 13, 2020","771,304,251"
 HedgeTrade ,"Feb 12, 2020","805,122,545"
 HedgeTrade ,"Feb 11, 2020","789,645,411"
 HedgeTrade ,"Feb 10, 2020","759,564,092"
 HedgeTrade ,"Feb 09, 2020","779,777,366"
 HedgeTrade ,"Feb 08, 2020","757,099,196"
 HedgeTrade ,"Feb 07, 2020","758,828,291"
 HedgeTrade ,"Feb 06, 2020","762,892,851"
 HedgeTrade ,"Feb 05, 2020","762,348,443"
 HedgeTrade ,"Feb 04, 2020","722,635,349"
 HedgeTrade ,"Feb 03, 2020","724,937,775"
 HedgeTrade ,"Feb 02, 2020","723,470,266"
 HedgeTrade ,"Feb 01, 2020","743,883,141"
 HedgeTrade ,"Jan 31, 2020","746,121,519"
 HedgeTrade ,"Jan 30, 2020","758,185,307"
 HedgeTrade ,"Jan 29, 2020","747,047,080"
 HedgeTrade ,"Jan 28, 2020","786,803,634"
 HedgeTrade ,"Jan 27, 2020","753,975,862"
 HedgeTrade ,"Jan 26, 2020","737,446,696"
 HedgeTrade ,"Jan 25, 2020","728,889,081"
 HedgeTrade ,"Jan 24, 2020","724,447,373"
 HedgeTrade ,"Jan 23, 2020","711,169,152"
 HedgeTrade ,"Jan 22, 2020","730,685,360"
 HedgeTrade ,"Jan 21, 2020","718,330,683"
 HedgeTrade ,"Jan 20, 2020","670,958,487"
 HedgeTrade ,"Jan 19, 2020","676,216,767"
 HedgeTrade ,"Jan 18, 2020","668,291,165"
